#,Negocio,Dirección,⭐,💰 Precio (MXN),📝 Observaciones,📍 Google Maps,phone,hours,website,photo,plusCode,isTop10,reviewCount,fullHours,priceLevel,category
53,Ahogadas Buenavista PONCHO,"Restaurante ·  · PROLG, C. López Mateos 43-B",4.5,$100-200,De las mejores tortas ahogadas acompañada de una deliciosa michelada.,https://www.google.com/maps/place/Ahogadas+Buenavista+PONCHO/data=!4m7!3m6!1s0x842f555d4193cd5f:0x3e15ae6140e2dc5!8m2!3d20.4515525!4d-103.5200116!16s%2Fg%2F11f66bs3m0!19sChIJX82TQV1VL4QRxS0OFOZa4QM?authuser=0&hl=es-419&rclk=1,"
+52 33 1410 3567","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://ahogadasbuenavistaponcho.shop/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjuXgRIQqvyJelBW-r6FboEK-Bl7UHPdbKeBuoDIVgSvmhO6RPkJdSzZPZMD6kukC-sTdRYRHF88jjSsN5I3lCvs06dYMrrl_UMLIcUwcWwzvBDb7g4jqBf3mSjVJV8Yir9UWjKz4Jk7XC=w1000-h1000-k-no,N/A,false,1672,N/A,N/A,Restaurante
54,Super Tortas Ahogadas Chuyin Munguía,Comida rápida ·  · Av. Munguia 2536,4.5,$1-100,"Exquisitas tortas ahogadas, los tacos dorados con carne muy bien servidos",https://www.google.com/maps/place/Super+Tortas+Ahogadas+Chuyin+Mungu%C3%ADa/data=!4m7!3m6!1s0x8428adf3f356fedd:0xdf9eb07bbfdb5027!8m2!3d20.7202748!4d-103.3613488!16s%2Fg%2F11cfgdgyl!19sChIJ3f5W8_OtKIQRJ1Dbv3uwnt8?authuser=0&hl=es-419&rclk=1,"
+52 33 3854 8267","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0FsO1ycdIqMvPBsVYtJ8oheQFeZMxBGITz6va_K7pIGFewXNdeHmQQjHAfn2g_bEV2weoZLG7cttWwVO89WSdRk5DoVeUN2Eft0-jvLswsZ-76ar8Qzm2ECIAosHCPEbXGEVS=w1000-h1000-k-no,N/A,false,1671,N/A,N/A,Restaurante de comida rápida
55,Tortas Ahogadas Alex Co Sucursal Conchitas,"4.5(1,644) · $100-200",4.5,$100-200,"4.5(1,644) · $100-200",https://www.google.com/maps/place/Tortas+Ahogadas+Alex+Co+Sucursal+Conchitas/data=!4m7!3m6!1s0x8428ac35530c8fcd:0xa08ba9a25508a587!8m2!3d20.6382195!4d-103.4051364!16s%2Fg%2F11bx33m449!19sChIJzY8MUzWsKIQRh6UIVaKpi6A?authuser=0&hl=es-419&rclk=1,"
+52 33 3632 4299","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://tortasahogadasalexco.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFiUMmcp8z0xRf8yA8hkm3P_WMTxmbPn4VmYChNY7DtZTBFylVNoq_Eh1hLY8_PuqUXy4moHqWHUoWQ2dZAHjV4kOh4HKSpJ2h3AT55dlbl5YjH59RcUxYCEwUG4Dy4OdT3oIFwTg=w1000-h1000-k-no,N/A,false,1644,N/A,N/A,Restaurante mexicano
56,Tortas Ahogadas Chucky's - Zapopan Centro,Comida rápida ·  · C. Benito Juárez 143,4.4,$100-200,Un buen lugar para deleitar una deliciosa torta ahogada en familia o sólo,https://www.google.com/maps/place/Tortas+Ahogadas+Chucky%27s+-+Zapopan+Centro/data=!4m7!3m6!1s0x8428af3479b98543:0xfa29a9e90a1e95c9!8m2!3d20.7222341!4d-103.3898389!16s%2Fg%2F11ckst53t9!19sChIJQ4W5eTSvKIQRyZUeCumpKfo?authuser=0&hl=es-419&rclk=1,"
+52 33 3633 4720","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkyamwLheY6T71hH42N1bljIRPrvM9M3YvhR2Cb7C9H3YCkYbD4545eR5hFO9Zai8yEBme87u86YsRJhLXhnpxYw4q8zSeCvz3QIzTZzeGV1aTtsHX2BPW-pcg61ldv0DPTHU=w1000-h1000-k-no,N/A,false,1613,N/A,N/A,Restaurante de comida rápida
57,Mexican Restaurant Las Tortas Ahogadas Jalisco,"3.8(1,560) · $10-20",3.8,$10-20,Siempre riquísima la comida.,https://www.google.com/maps/place/Mexican+Restaurant+Las+Tortas+Ahogadas+Jalisco/data=!4m7!3m6!1s0x88f4fd7cc5a83df5:0x1908508331be75c3!8m2!3d33.5876438!4d-84.378559!16s%2Fg%2F1pp2wzsq8!19sChIJ9T2oxXz99IgRw3W-MYNQCBk?authuser=0&hl=es-419&rclk=1,"
+1 404-608-9391","Horarios de mayor concurrencia
miércoles



EN TIEMPO REALMás concurrido de lo habitual
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
12a.m.
3a.m.
",https://tortas-ahogadas.shop/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXCVMAYqvQULAG0pPceq90tPJ2TUD1sFPzKaottlZHEpatlawYNxML3X4vNaKJ5WUDN3kDbiSG-uOrABlhe6xqyvOP4rJ8pQIeLuDVXpgh2RvNgLLaLHogYF63iMNC7_Bt2KA=w1000-h1000-k-no,N/A,false,1560,N/A,N/A,Mexican torta restaurant
58,Tortas Ahogadas Colomos,Mexicana · C. José María Vigil 1874,4.4,$100-200,muy recomendable las tortas ahogadas y tacos dorados con carnita,https://www.google.com/maps/place/Tortas+Ahogadas+Colomos/data=!4m7!3m6!1s0x8428ae3d01f5a5ed:0xb841b2e2ca2384e!8m2!3d20.6899165!4d-103.37281!16s%2Fg%2F1tggtvjc!19sChIJ7aX1AT2uKIQRTjiiLC4bhAs?authuser=0&hl=es-419&rclk=1,"
+52 33 3640 0290","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHk3qFE4-Ap9o0n5LxXIVWUUV7gCLY-CB_ulJRkeM57EWTBudP44aNQylpdNH1goYfpOqxnMddWKdotUVzQ9muf0evN6pPoF-YU9u0gMQtInlt6keFsCD3u_NUU0Gy1pCDedPb6=w1000-h1000-k-no,N/A,false,1520,N/A,N/A,Restaurante mexicano
59,Carnitas Quiroga,"4.5(1,491) · $1-100",4.5,$1-100,"4.5(1,491) · $1-100",https://www.google.com/maps/place/Carnitas+Quiroga/data=!4m7!3m6!1s0x8428b38661e15555:0xd8b113c8bada060c!8m2!3d20.6337213!4d-103.2709698!16s%2Fg%2F11d_wm03sp!19sChIJVVXhYYazKIQRDAbausgTsdg?authuser=0&hl=es-419&rclk=1,"
+52 33 3681 3224","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/share/19Cui2xJWL/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1ldFzqaq9O1fZm-3gFiaEOHQ_msY_UvQ36Z1UWb7zObGXU3HM0SbeqkldtEHz5YTlPmrOOikm1Y71hLjF2DHnoDZD74LDae-yh4s1Z_cMTvOK3HBepz0UrpqWW8PM6P82_PMiwA=w1000-h1000-k-no,N/A,false,1491,N/A,N/A,Restaurante
60,Lonches Karlo's,Restaurante ·  · Av. Rubén Darío 1549,4.0,$100-200,"El lonche de pierna es delicioso, la salsa espectacular, mega llenador.",https://www.google.com/maps/place/Lonches+Karlo%27s/data=!4m7!3m6!1s0x8428ae480e0564cb:0x892881efb478527b!8m2!3d20.7000809!4d-103.3832321!16s%2Fg%2F1wk6_2b0!19sChIJy2QFDkiuKIQRe1J4tO-BKIk?authuser=0&hl=es-419&rclk=1,"
+52 33 3817 2340","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.loncheskarlos.mx/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEANYr4L9IAEzkNRz9zVMFa_87rr_3YVUnVyo3O_8diVDmq8ViYmQmJk82B_3NGtKfhbbBhGusJtFI6CyFWN2YtZ44LiZD33j0PpYw-wxZfCuybbBVO-A_SjflAf77i0Z3RFeLggA=w1000-h1000-k-no,N/A,false,1471,N/A,N/A,Restaurante
61,Cenaduría La Casa de Los Chatos.,"4.6(1,442) · $100-200",4.6,$100-200,"Muy buen lugar para comer, precios económicos y sabor exquisito.",https://www.google.com/maps/place/Cenadur%C3%ADa+La+Casa+de+Los+Chatos./data=!4m7!3m6!1s0x8428b1d15dc5ccb1:0x6fc4717a5e0ed64!8m2!3d20.7057727!4d-103.3516232!16s%2Fg%2F11b61qtsy9!19sChIJsczFXdGxKIQRZO3gpRdH_AY?authuser=0&hl=es-419&rclk=1,"
+52 33 3823 1497","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGdnyMsL9U8WedCCtUQ6bOp-VcV8iJ6T_tFVU6PDdkTZrn5Idwf18reOcMfMjE0END-8qn-XrxR3eigbp2LSGvbi0Oerh97sEzAAhqsfnEJsNC7qpGVEcqioMOMBd208Z7gH2z=w1000-h1000-k-no,N/A,false,1442,N/A,N/A,Restaurante mexicano
62,"Tortas Ahogadas, Aguachiles y Alitas George",Restaurante ·  · Av. Munguia 328,4.6,$100-200,Sin duda en el top 5 de las mejores tortas ahogadas de la ciudad.,"https://www.google.com/maps/place/Tortas+Ahogadas,+Aguachiles+y+Alitas+George/data=!4m7!3m6!1s0x8428afd6617f22a1:0x3eb565176528aae6!8m2!3d20.7182963!4d-103.3614939!16s%2Fg%2F1tdnfkyd!19sChIJoSJ_YdavKIQR5qooZRdltT4?authuser=0&hl=es-419&rclk=1","
+52 33 2441 5496","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-qMOWwmy5_ESS0meI_Ed0LiSrMJCBNDPUiGXoEL3WXQd4dawU_ybs4xPPtKDoVnWQ9pSLHSOo7fethOGavnAWD24YJQsra0mWb_VOa7KhQkU-89yrGqNF3iAnB85hVhVQ4lenzxAjYii6=w1000-h1000-k-no,N/A,false,1406,N/A,N/A,Restaurante
63,"Tortas Ahogadas ""Sigi's""",Comida rápida ·  · C. Francisco de Orellana 2690,4.5,$100-200,Unas de las mejores tortas ahogadas de Guadalajara sin duda.,https://www.google.com/maps/place/Tortas+Ahogadas+%22Sigi%27s%22/data=!4m7!3m6!1s0x8428ad929929c211:0xf6c8b2d4780915b8!8m2!3d20.6393787!4d-103.370588!16s%2Fg%2F11b7hqdywv!19sChIJEcIpmZKtKIQRuBUJeNSyyPY?authuser=0&hl=es-419&rclk=1,"
+52 33 3663 7158","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/tortassigis,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHR4tEcDtxtmeLpPV_Y9QyfpgeJyogXpwRRXuMsdJzsJGt8sjQIIzHx4ANeGhAbCiRN_JAoMU4ri8MjhU0ihqzcD4olnnqPjzaQlaAqu1MiPpSu2Xl22FO6kyddWf-aqsjxDmHqG0yw_Tmy=w1000-h1000-k-no,N/A,false,1402,N/A,N/A,Restaurante de comida rápida
64,Las nueve esquinas Carnitas Uruapan,Mexicana ·  · Av. Cristobal Colon 377,4.3,$100-200,La torta ahogada de precio accesible y con abundante carne.,https://www.google.com/maps/place/Las+nueve+esquinas+Carnitas+Uruapan/data=!4m7!3m6!1s0x8428b1954645fe97:0xdcc721dc915062b8!8m2!3d20.6708515!4d-103.3484084!16s%2Fg%2F11h1j2kxv7!19sChIJl_5FRpWxKIQRuGJQkdwhx9w?authuser=0&hl=es-419&rclk=1,"
+52 33 3614 3291","Horarios de mayor concurrencia
miércoles



Cerrado los miércoles—elige otro día
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbC1brjvgyM-h6Jqd0xICU9bl4bkKUKsz8gVdzYfBsrHwYmLSJMbmfqEJXPJSD-am_vLFSblfHChGGJCHJxAVtXsuptewondXlX8gTSXXDL4VLj0s2gLS8uqbalKZhur5WTxOoHdkKo38=w1000-h1000-k-no,N/A,false,1372,N/A,N/A,Restaurante mexicano
65,Tortas Ahogadas Chucky's - Vigía,"4.4(1,344) · $100-200",4.4,$100-200,De las mejores tortas ahogadas que he probado,https://www.google.com/maps/place/Tortas+Ahogadas+Chucky%27s+-+Vig%C3%ADa/data=!4m7!3m6!1s0x8428afa2aebf9fdf:0xa1b64425213d1d51!8m2!3d20.731748!4d-103.3938151!16s%2Fg%2F11cmts7jjc!19sChIJ35-_rqKvKIQRUR09ISVEtqE?authuser=0&hl=es-419&rclk=1,"
+52 33 3833 1022","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAgU7VR5ibHST3yc9waUBWF7l4039-Snpd-J7NZsVwpsnM7lceirLnMVVGFmeyQLGv48-0gyCohS7pm1Zo3r2PH29B5-meXY__y0cE1CQPf9y_6sSn3SoAqTAjZAs5wxm_6NEc=w1000-h1000-k-no,N/A,false,1344,N/A,N/A,Restaurante de comida rápida
66,Tortas Ahogadas Juan,"4.5(1,343) · $1-100",4.5,$1-100,Es un buen lugar para comerse una torta ahogada buen ambiente y precio,https://www.google.com/maps/place/Tortas+Ahogadas+Juan/data=!4m7!3m6!1s0x8428b01a1e271743:0x94670d4145ed4d06!8m2!3d20.7416348!4d-103.3483918!16s%2Fg%2F1z44b8lrv!19sChIJQxcnHhqwKIQRBk3tRUENZ5Q?authuser=0&hl=es-419&rclk=1,"
+52 33 3861 7051","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/Tortas-Ahogadas-juan-1071734699607620/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEa-1xPRBfhhg4XRLXQcQ0UvtioTbETHko-2iqbY1I7fwWlMt24_LUcrEcdQGUzDu0wtXt9HcJ14714-L8jkSmJeBtWelTybKSWG0K2FJktfrozs-iWRqwt90_YpHL0ZMlBnKnX=w1000-h1000-k-no,N/A,false,1343,N/A,N/A,Restaurante de comida rápida
67,Tortas El Güero,Mercado de Abastos,4.6,$100-200,Alto flujo de clientes diarios,"https://www.google.com/maps/place/Tortas+y+Tacos+El+G%C3%BCero+Providencia/@27.0639135,-108.4641209,6z/data=!4m10!1m2!2m1!1sTortas+El+G%C3%BCero+Mercado+de+Abastos+Guadalajara!3m6!1s0x8428af3750da1afb:0xb5f8e304d4d12884!8m2!3d20.6865722!4d-103.3898309!15sCi9Ub3J0YXMgRWwgR8O8ZXJvIE1lcmNhZG8gZGUgQWJhc3RvcyBHdWFkYWxhamFyYVoxIi90b3J0YXMgZWwgZ8O8ZXJvIG1lcmNhZG8gZGUgYWJhc3RvcyBndWFkYWxhamFyYZIBCnJlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmZkMko1ZWxOUkVBReABAPoBBAgAEEA!16s%2Fg%2F11tdr7nc2f?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D","
+52 33 2046 2380","Horarios de mayor concurrencia
jueves



EN TIEMPO REALMenos concurrido de lo habitual
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/profile.php?id=100063723632640,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHECHITdzMh3-hnnRL4vJZ9BMK-T_yZs0WD2WPpvn_ro0lGeDJoF_tvsiudmodd_uz4eJI0TmEJGwmqdlAFDqORUcpFNBPFKBPZnN_ljXDR58Q_GBPkqmnSvMjfKrmOEDGAsM9w1A=w1000-h1000-k-no,N/A,false,1341,N/A,N/A,Restaurante mexicano
68,Tortas Ahogadas Enrique El Original,"4.6(1,338) · $1-100",4.6,$1-100,"4.6(1,338) · $1-100",https://www.google.com/maps/place/Tortas+Ahogadas+Enrique+El+Original/data=!4m7!3m6!1s0x8428b1d23e72f8cf:0xe515c71a55864ff7!8m2!3d20.6752843!4d-103.3576232!16s%2Fg%2F1vppsvhc!19sChIJz_hyPtKxKIQR90-GVRrHFeU?authuser=0&hl=es-419&rclk=1,"
+52 33 3825 2766","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.instagram.com/tortas_ahogadas_enrique?utm_source=qr&igsh=MWliYWMwZzNkZDgxeA==,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGR99z6-p7-7t5PW4iSljU73cOlbLnfAsiEIX-Qlv0ErFhfYlWCAQxIXxsRErQUnQRQ9nR6rgVJ-5VTbelylEyz6ULiYmeymWLH6_qy3XLJdL2zmeb4cQH9eyNYVG9UGIZ8UvosAg=w1000-h1000-k-no,N/A,false,1338,N/A,N/A,Restaurante mexicano
69,Cenaduría Kathy,Restaurante · C. Hacienda Cofradía del Rosario 1417,4.6,$1-100,"CENADURIA , la comida es rica y económica.",https://www.google.com/maps/place/Cenadur%C3%ADa+Kathy/data=!4m7!3m6!1s0x8428b13eb4ebb12f:0x23b4a8002ded18f3!8m2!3d20.6923796!4d-103.2999259!16s%2Fg%2F11h6lr87p9!19sChIJL7HrtD6xKIQR8xjtLQCotCM?authuser=0&hl=es-419&rclk=1,"
+52 33 1200 9507","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFecnJ6ZH5iGXCzdwSozcsexbt8ZBGMprxW2auJrPEaLck03XgaHCInzl0R-xYkrRtaCOjTK1NApo6-IBAvKPDFSqPUke0KndRvtlVrPjsZoLQxB9wOvtCjhen-vzH4wsXQqcue=w1000-h1000-k-no,N/A,false,1314,N/A,N/A,Restaurante
70,Tortas Ahogadas Moreno's,"4.6(1,302) · $1-100",4.6,$1-100,Exelente unas tortas ahogadas riquísimas las recomiendo muchi,https://www.google.com/maps/place/Tortas+Ahogadas+Moreno%27s/data=!4m7!3m6!1s0x8428ae10acf0c9e9:0x9d87546e500b7096!8m2!3d20.6811414!4d-103.3708258!16s%2Fg%2F11cn8zqgj9!19sChIJ6cnwrBCuKIQRlnALUG5Uh50?authuser=0&hl=es-419&rclk=1,"
+52 33 3615 7545","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTk0w5U0sLvXgeXktSVifecyyviW_yhJ7mDZMEk8feZdKw-WpPfLNjyj8Bo98LYTFBY-vcREGCGZigYhjy___gZp_7lwDSkTKkRqxgqXkTR762F6KZ7RQWiCihOOoKGMq3BKU=w1000-h1000-k-no,N/A,false,1302,N/A,N/A,Restaurante mexicano
71,"Tortas Ahogadas ""Las Chavochas"" Martinica",Comida rápida ·  · C. Pipila 199,4.4,$1-100,De las mejores tortas ahogadas que he probado,https://www.google.com/maps/place/Tortas+Ahogadas+%22Las+Chavochas%22+Martinica/data=!4m7!3m6!1s0x8428affc9e8c8d43:0x714d317d30ec5033!8m2!3d20.7478894!4d-103.3641016!16s%2Fg%2F11byz7x_9c!19sChIJQ42MnvyvKIQRM1DsMH0xTXE?authuser=0&hl=es-419&rclk=1,"
+52 33 2650 8004","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/TortasAhogadasChavochasLasOriginales?mibextid=ZbWKwL,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_mUBWiaeUhV1A12wh2GoLUXsGzBhmftIByWqFoucdLZ7lMueOHbXIWyhiAQYf2nWkyT-m6sGzeumhsSRQ0BPveVWOU5XSyS2QYjtz-Md19fH-k911CWFv8HCkAqVK9bPAV44=w1000-h1000-k-no,N/A,false,1217,N/A,N/A,Restaurante de comida rápida
72,Cenaduría Don Chuy,Mexicana ·  · C. Diego Cuentas 1100,4.4,$100-200,"El pozole, flautas, enchiladas, pan de elote y arroz con leche buenísimos.",https://www.google.com/maps/place/Cenadur%C3%ADa+Don+Chuy/data=!4m7!3m6!1s0x8428b16589586083:0x31dd3ce243890fb1!8m2!3d20.6809909!4d-103.2969809!16s%2Fg%2F1ptz1z12s!19sChIJg2BYiWWxKIQRsQ-JQ-I83TE?authuser=0&hl=es-419&rclk=1,"
+52 33 2254 1660","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRJi0L7CecQ_4d7M3G_LAYYRGcVnEbWjBe-HEjPm15XGNvFY1wZGFqIK8a9v8PrrePdsr7dxHFLlaMTn_N7-NxF-09tZggeOVAQpQna300SWCCDx-UHMocIM05nB1D1xZ43rrmkjHkw2jl=w1000-h1000-k-no,N/A,false,1195,N/A,N/A,Restaurante
73,Carnitas Viva Michoacán,"4.5(1,180) · $100-200",4.5,$100-200,"4.5(1,180) · $100-200",https://www.google.com/maps/place/Carnitas+Viva+Michoac%C3%A1n/data=!4m7!3m6!1s0x8428ae7e08069277:0x4bf631822cdb2422!8m2!3d20.6670342!4d-103.4044438!16s%2Fg%2F11b6v8j3ly!19sChIJd5IGCH6uKIQRIiTbLIIx9ks?authuser=0&hl=es-419&rclk=1,"
+52 33 3123 0014","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://carnitasvivamichoacan.com.mx/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiqs_OIdtq_8nmUPuJ2be8D5Bcv2kRz8G144zZOBq1JKxNejz6Sf8sIhPg7HzHPwYTsqc9doZoRBoF_foMxuvYHA-PR0IWq2gcehwBOZ0KZq5aMFietMAoNHD-bS2BRGSdpq2EnJSVeYDz=w1000-h1000-k-no,N/A,false,1180,N/A,N/A,Restaurante mexicano
74,Tortas Ahogadas Los Ruvalcaba,Mexicana ·  · Av. de los Arcos 580,4.2,$100-200,Muy ricas las tortas ahogadas y los tacos de carnitas,https://www.google.com/maps/place/Tortas+Ahogadas+Los+Ruvalcaba/data=!4m7!3m6!1s0x8428ae6d7fe28a29:0x81e52b5e1b72e2c!8m2!3d20.6684769!4d-103.3849317!16s%2Fg%2F11cn2m7f3c!19sChIJKYrif22uKIQRLC634bVSHgg?authuser=0&hl=es-419&rclk=1,"
+52 33 3121 5206","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHGmUKChHZ1G9qQnT6DhTCWSiyVmEAWHdm5XWgB0zzsC-Zg39PHRRNZqPm7iZ52doKYZfA--82cjY8iFIarClT5fmbXGlS5kQdbcIh4qSmbyISdP50qM1X84aEMweGrimZOzZ_3z2MOkBA=w1000-h1000-k-no,N/A,false,1180,N/A,N/A,Restaurante mexicano
75,Cenaduría ELY's,"4.7(1,151) · $100-200",4.7,$100-200,"Excelente comida, porciones y el pozole muy rico y nada grasoso.",https://www.google.com/maps/place/Cenadur%C3%ADa+ELY%27s/data=!4m7!3m6!1s0x8428ae29bbd74273:0x411f99dd75cb9dc5!8m2!3d20.7036134!4d-103.3605679!16s%2Fg%2F11g9nlvb94!19sChIJc0LXuymuKIQRxZ3Ldd2ZH0E?authuser=0&hl=es-419&rclk=1,"
+52 33 1040 1665","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFE5LwWo1KJT_SM4whGJIHQl4lI3m8Cz0wsfIWukz22wiV5liquTJHGQALmvYWZI5yJbOBhn5PwKJjFuHU3LUlrJenwdOpmTpunvJU_oa_tEIhQWv8DuG-OOXtiPraMIdvAdw44_R9SYA=w1000-h1000-k-no,N/A,false,1151,N/A,N/A,Restaurante
76,Cenaduría Chabelita,"Mexicana ·  · Calle Jesús García, C. Liceo &",4.2,$100-200,"Comida muy buena y a buen precio, la atención es muy amable",https://www.google.com/maps/place/Cenadur%C3%ADa+Chabelita/data=!4m7!3m6!1s0x8428b1e801d03785:0x1a429179c84b8959!8m2!3d20.6892296!4d-103.3471284!16s%2Fg%2F11fx2vn7fq!19sChIJhTfQAeixKIQRWYlLyHmRQho?authuser=0&hl=es-419&rclk=1,"
+52 33 3613 7882","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPWyLXHkyIOMRcu7q5uJZ1lVylmsaQ5gIiWZpgQ9rvgk8e00gsGVObdkhPVOxMUY-F_c_fG7ZYC4V--Ng4pz_slNJY38KXd0MFDaM-BWTYcaLZYeSwkuuvGgv-KcmKCPzM5bMY=w1000-h1000-k-no,N/A,false,1150,N/A,N/A,Restaurante mexicano
77,Yunaites•Menjurjes pueblerinos,Zona de restauración ·  · C. Garibaldi 824,4.4,$100-200,"Comida deliciosa, precios accesibles y además son super amables.",https://www.google.com/maps/place/Yunaites%E2%80%A2Menjurjes+pueblerinos/data=!4m7!3m6!1s0x8428b1b5003c1fbb:0xd82e12ee1096894c!8m2!3d20.6814357!4d-103.3567783!16s%2Fg%2F11n145br9m!19sChIJux88ALWxKIQRTImWEO4SLtg?authuser=0&hl=es-419&rclk=1,N/A,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_nfy9soyw9VO2-g6RmBHADiRX_3Vw6yU-xdq9hiYV45fenjNk_PG1Gcyuc5WuSxq_IF2FpiEJhgIB_BxsoT6cN-14jnQCBpNc-2LoEbMTJNAX9dok2_qvxmOQ7Eqv_-z03Qk=w1000-h1000-k-no,N/A,false,1110,N/A,N/A,Zona de restauración
78,Tortas Ahogadas El Sabor de Patria,"4.0(1,093) · $1-100",4.0,$1-100,"Bien cuajadas las tortas, buche y carnitas además de los tacos.",https://www.google.com/maps/place/Tortas+Ahogadas+El+Sabor+de+Patria/data=!4m7!3m6!1s0x8428b27d1ab6a3d7:0xab035d6664970fab!8m2!3d20.6211518!4d-103.3493411!16s%2Fg%2F1ptwhlvzr!19sChIJ16O2Gn2yKIQRqw-XZGZdA6s?authuser=0&hl=es-419&rclk=1,"
+52 33 3587 5775","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHi7QghbVs1BtZW0YpV1QoH_eSjGpG9Ws4vsaTFI8oKlnF2XofA0_xyt3WnrLUDQaaHnbAe-prkDX-xPmYqXP_dhDCojdoxVm_mHmoCNtCX11k22xkddeAbmc08AvddGkr13fNH=w1000-h1000-k-no,N/A,false,1093,N/A,N/A,Restaurante mexicano
